2026-04-21 21:08:07,388 - INFO - ==================================================
2026-04-21 21:08:07,389 - INFO - Distillation Training Configuration
2026-04-21 21:08:07,389 - INFO - ==================================================
2026-04-21 21:08:07,389 - INFO - GPUs: [4, 5, 6, 7]
2026-04-21 21:08:07,389 - INFO - World size: 4
2026-04-21 21:08:07,389 - INFO - Dataset: /media/hdd1/chuxiaohui/AI4Ocean_UATR/DeepShip_622
2026-04-21 21:08:07,389 - INFO - Data type: wav_s@wav_t
2026-04-21 21:08:07,389 - INFO - Batch size: 16
2026-04-21 21:08:07,389 - INFO - Epochs: 200
2026-04-21 21:08:07,389 - INFO - Learning rate: 0.0004
2026-04-21 21:08:07,389 - INFO - Temperature: 2.0
2026-04-21 21:08:07,389 - INFO - Alpha: 0.3
2026-04-21 21:08:07,389 - INFO - Save dir: checkpoints/ablation_deepship/num_epochs200_weight_decay8e-05_batch_size16_lr0.0004_distill_typeMTSKD_Temp_freezeTrue_USE_DYNAMIC_DISTILL_WEIGHTFalse_p_encoder0.1_p_classifier0.35
2026-04-21 21:08:07,389 - INFO - ==================================================
2026-04-21 21:08:07,654 - INFO - Train dataset size: 31892
2026-04-21 21:08:07,655 - INFO - Validation dataset size: 10631
2026-04-21 21:08:09,226 - INFO - Student params: 316,234 (0.32M)
2026-04-21 21:08:09,227 - INFO - Teacher params: 164,415,748 (164.42M)
2026-04-21 21:08:09,227 - INFO - Trainable params: 271,242 (0.27M)
2026-04-21 21:08:10,539 - INFO - Start training...
2026-04-21 21:08:10,540 - INFO - No checkpoint found, start from scratch
2026-04-21 21:08:33,877 - INFO - Epoch [1] Batch [0/498]                     Loss: 1.8798, Hard: 1.4593, Soft: 0.4205                     Acc: 31.25% LR: 0.000400                     Alpha: 0.5                     Beta: 0.0                     MemKD: 0.5
2026-04-21 21:08:38,087 - INFO - Epoch [1] Batch [20/498]                     Loss: 1.7108, Hard: 1.3826, Soft: 0.3282                     Acc: 31.25% LR: 0.000400                     Alpha: 0.5                     Beta: -0.0014822401572018862                     MemKD: 0.5019477605819702
2026-04-21 21:08:42,240 - INFO - Epoch [1] Batch [40/498]                     Loss: 1.7012, Hard: 1.3697, Soft: 0.3314                     Acc: 32.77% LR: 0.000400                     Alpha: 0.5                     Beta: -0.007313922513276339                     MemKD: 0.5038014054298401
2026-04-21 21:08:46,361 - INFO - Epoch [1] Batch [60/498]                     Loss: 1.5802, Hard: 1.3086, Soft: 0.2716                     Acc: 34.22% LR: 0.000400                     Alpha: 0.5                     Beta: -0.01563110202550888                     MemKD: 0.5055218935012817
2026-04-21 21:08:50,524 - INFO - Epoch [1] Batch [80/498]                     Loss: 1.8488, Hard: 1.4937, Soft: 0.3552                     Acc: 37.50% LR: 0.000400                     Alpha: 0.5                     Beta: -0.025431858375668526                     MemKD: 0.5069777965545654
2026-04-21 21:08:54,696 - INFO - Epoch [1] Batch [100/498]                     Loss: 1.6074, Hard: 1.2903, Soft: 0.3171                     Acc: 39.73% LR: 0.000400                     Alpha: 0.5                     Beta: -0.03456525504589081                     MemKD: 0.5083223581314087
2026-04-21 21:08:58,860 - INFO - Epoch [1] Batch [120/498]                     Loss: 1.3455, Hard: 1.1130, Soft: 0.2325                     Acc: 40.96% LR: 0.000400                     Alpha: 0.5                     Beta: -0.04395885765552521                     MemKD: 0.5097030401229858
2026-04-21 21:09:03,033 - INFO - Epoch [1] Batch [140/498]                     Loss: 1.3609, Hard: 1.1556, Soft: 0.2053                     Acc: 41.71% LR: 0.000400                     Alpha: 0.5                     Beta: -0.054382119327783585                     MemKD: 0.5109856128692627
2026-04-21 21:09:07,160 - INFO - Epoch [1] Batch [160/498]                     Loss: 1.2384, Hard: 1.0405, Soft: 0.1979                     Acc: 42.20% LR: 0.000400                     Alpha: 0.5                     Beta: -0.06374190002679825                     MemKD: 0.5123936533927917
2026-04-21 21:09:11,365 - INFO - Epoch [1] Batch [180/498]                     Loss: 1.5070, Hard: 1.2712, Soft: 0.2359                     Acc: 42.54% LR: 0.000400                     Alpha: 0.5                     Beta: -0.07280747592449188                     MemKD: 0.5139102935791016
2026-04-21 21:09:15,562 - INFO - Epoch [1] Batch [200/498]                     Loss: 1.4914, Hard: 1.2576, Soft: 0.2338                     Acc: 42.91% LR: 0.000400                     Alpha: 0.5                     Beta: -0.08154328912496567                     MemKD: 0.5154895782470703
2026-04-21 21:09:19,718 - INFO - Epoch [1] Batch [220/498]                     Loss: 0.9875, Hard: 0.8660, Soft: 0.1216                     Acc: 43.27% LR: 0.000400                     Alpha: 0.5                     Beta: -0.09148016571998596                     MemKD: 0.5168097615242004
2026-04-21 21:09:23,906 - INFO - Epoch [1] Batch [240/498]                     Loss: 1.2337, Hard: 1.0576, Soft: 0.1762                     Acc: 43.57% LR: 0.000400                     Alpha: 0.5                     Beta: -0.10088571906089783                     MemKD: 0.5181488394737244
2026-04-21 21:09:27,907 - INFO - Epoch [1] Batch [260/498]                     Loss: 1.1894, Hard: 1.0532, Soft: 0.1362                     Acc: 43.80% LR: 0.000400                     Alpha: 0.5                     Beta: -0.11120028048753738                     MemKD: 0.5194036960601807
