2026-03-02 17:13:12,568 - INFO - ==================================================
2026-03-02 17:13:12,568 - INFO - Distillation Training Configuration
2026-03-02 17:13:12,569 - INFO - ==================================================
2026-03-02 17:13:12,569 - INFO - GPUs: [4, 5, 6, 7]
2026-03-02 17:13:12,569 - INFO - World size: 4
2026-03-02 17:13:12,569 - INFO - Dataset: /media/hdd1/chuxiaohui/AI4Ocean_UATR/DeepShip_622
2026-03-02 17:13:12,569 - INFO - Data type: wav_s@wav_t
2026-03-02 17:13:12,569 - INFO - Batch size: 16
2026-03-02 17:13:12,569 - INFO - Epochs: 200
2026-03-02 17:13:12,569 - INFO - Learning rate: 0.0004
2026-03-02 17:13:12,569 - INFO - Temperature: 2.0
2026-03-02 17:13:12,569 - INFO - Alpha: 0.3
2026-03-02 17:13:12,569 - INFO - Save dir: checkpoints/cv_deepship/total_folds10_fold6_num_epochs200_weight_decay8e-05_batch_size16_lr0.0004_distill_typeMTSKD_freezeTrue_USE_DYNAMIC_DISTILL_WEIGHTFalse_p_encoder0.1_p_classifier0.35
2026-03-02 17:13:12,569 - INFO - ==================================================
2026-03-02 17:13:12,855 - INFO - Train dataset size: 31892
2026-03-02 17:13:12,855 - INFO - Validation dataset size: 10631
2026-03-02 17:13:14,827 - INFO - Student params: 316,234 (0.32M)
2026-03-02 17:13:14,827 - INFO - Teacher params: 164,415,748 (164.42M)
2026-03-02 17:13:14,827 - INFO - Trainable params: 271,242 (0.27M)
2026-03-02 17:13:15,311 - INFO - Start training...
2026-03-02 17:13:15,312 - INFO - No checkpoint found, start from scratch
2026-03-02 17:13:38,393 - INFO - Epoch [1] Batch [0/498]                     Loss: 1.8839, Hard: 1.4593, Soft: 0.4246                     Acc: 31.25% LR: 0.000400                     Alpha: 0.5                     Beta: 0.0                     MemKD: 0.5
2026-03-02 17:13:42,115 - INFO - Epoch [1] Batch [20/498]                     Loss: 1.6807, Hard: 1.3812, Soft: 0.2994                     Acc: 30.65% LR: 0.000400                     Alpha: 0.5                     Beta: -0.00797397829592228                     MemKD: 0.5019338130950928
2026-03-02 17:13:46,057 - INFO - Epoch [1] Batch [40/498]                     Loss: 1.6033, Hard: 1.3324, Soft: 0.2709                     Acc: 33.08% LR: 0.000400                     Alpha: 0.5                     Beta: -0.01602497324347496                     MemKD: 0.5036900043487549
2026-03-02 17:13:50,041 - INFO - Epoch [1] Batch [60/498]                     Loss: 1.2461, Hard: 1.1440, Soft: 0.1021                     Acc: 35.96% LR: 0.000400                     Alpha: 0.5                     Beta: -0.02410011924803257                     MemKD: 0.5051512122154236
2026-03-02 17:13:54,038 - INFO - Epoch [1] Batch [80/498]                     Loss: 1.7876, Hard: 1.5169, Soft: 0.2707                     Acc: 38.43% LR: 0.000400                     Alpha: 0.5                     Beta: -0.03231111168861389                     MemKD: 0.5061224102973938
2026-03-02 17:13:57,968 - INFO - Epoch [1] Batch [100/498]                     Loss: 1.4439, Hard: 1.2443, Soft: 0.1995                     Acc: 40.41% LR: 0.000400                     Alpha: 0.5                     Beta: -0.04041394218802452                     MemKD: 0.5067905783653259
2026-03-02 17:14:01,886 - INFO - Epoch [1] Batch [120/498]                     Loss: 1.2275, Hard: 1.0972, Soft: 0.1302                     Acc: 41.74% LR: 0.000400                     Alpha: 0.5                     Beta: -0.048539482057094574                     MemKD: 0.5071958899497986
2026-03-02 17:14:05,824 - INFO - Epoch [1] Batch [140/498]                     Loss: 1.2348, Hard: 1.1570, Soft: 0.0778                     Acc: 42.29% LR: 0.000400                     Alpha: 0.5                     Beta: -0.05694079399108887                     MemKD: 0.5071275234222412
2026-03-02 17:14:09,720 - INFO - Epoch [1] Batch [160/498]                     Loss: 1.0038, Hard: 0.9984, Soft: 0.0054                     Acc: 42.82% LR: 0.000400                     Alpha: 0.5                     Beta: -0.06519410014152527                     MemKD: 0.5069609880447388
2026-03-02 17:14:13,622 - INFO - Epoch [1] Batch [180/498]                     Loss: 1.3143, Hard: 1.2509, Soft: 0.0634                     Acc: 43.09% LR: 0.000400                     Alpha: 0.5                     Beta: -0.07363440096378326                     MemKD: 0.5063872933387756
