2026-02-14 19:52:13,846 - INFO - ==================================================
2026-02-14 19:52:13,847 - INFO - Distillation Training Configuration
2026-02-14 19:52:13,847 - INFO - ==================================================
2026-02-14 19:52:13,847 - INFO - GPUs: [4, 5, 6, 7]
2026-02-14 19:52:13,847 - INFO - World size: 4
2026-02-14 19:52:13,847 - INFO - Dataset: /media/hdd1/chuxiaohui/AI4Ocean_UATR/DeepShip_622
2026-02-14 19:52:13,847 - INFO - Data type: wav_s@wav_t
2026-02-14 19:52:13,847 - INFO - Batch size: 16
2026-02-14 19:52:13,847 - INFO - Epochs: 100
2026-02-14 19:52:13,847 - INFO - Learning rate: 0.0005
2026-02-14 19:52:13,847 - INFO - Temperature: 2.0
2026-02-14 19:52:13,847 - INFO - Alpha: 0.3
2026-02-14 19:52:13,847 - INFO - Save dir: checkpoints/grid_deepship_0/num_epochs100_weight_decay0.0001_batch_size16_lr0.0005_distill_typeMTSKD_Temp_freezeTrue_USE_DYNAMIC_DISTILL_WEIGHTFalse_p_encoder0.1_p_classifier0.5
2026-02-14 19:52:13,847 - INFO - ==================================================
2026-02-14 19:52:14,112 - INFO - Train dataset size: 31892
2026-02-14 19:52:14,112 - INFO - Validation dataset size: 10631
2026-02-14 19:52:15,819 - INFO - Student params: 316,234 (0.32M)
2026-02-14 19:52:15,819 - INFO - Teacher params: 164,415,748 (164.42M)
2026-02-14 19:52:15,819 - INFO - Trainable params: 271,242 (0.27M)
2026-02-14 19:52:16,981 - INFO - Start training...
2026-02-14 19:52:16,982 - INFO - No checkpoint found, start from scratch
2026-02-14 19:52:41,673 - INFO - Epoch [1] Batch [0/498]                     Loss: 1.8339, Hard: 1.4301, Soft: 0.4038                     Acc: 31.25% LR: 0.000500                     Alpha: 0.5                     Beta: 0.0                     MemKD: 0.5
2026-02-14 19:52:46,109 - INFO - Epoch [1] Batch [20/498]                     Loss: 1.8055, Hard: 1.4381, Soft: 0.3673                     Acc: 29.17% LR: 0.000500                     Alpha: 0.5                     Beta: -5.008412335882895e-05                     MemKD: 0.5024376511573792
2026-02-14 19:52:50,441 - INFO - Epoch [1] Batch [40/498]                     Loss: 1.6037, Hard: 1.3211, Soft: 0.2826                     Acc: 31.40% LR: 0.000500                     Alpha: 0.5                     Beta: -0.005456091370433569                     MemKD: 0.5047603249549866
2026-02-14 19:52:54,848 - INFO - Epoch [1] Batch [60/498]                     Loss: 1.4120, Hard: 1.2169, Soft: 0.1951                     Acc: 34.12% LR: 0.000500                     Alpha: 0.5                     Beta: -0.015111304819583893                     MemKD: 0.5068644285202026
2026-02-14 19:52:59,205 - INFO - Epoch [1] Batch [80/498]                     Loss: 2.1069, Hard: 1.7134, Soft: 0.3935                     Acc: 36.57% LR: 0.000500                     Alpha: 0.5                     Beta: -0.026971204206347466                     MemKD: 0.5086525082588196
2026-02-14 19:53:03,760 - INFO - Epoch [1] Batch [100/498]                     Loss: 1.6384, Hard: 1.2831, Soft: 0.3553                     Acc: 38.68% LR: 0.000500                     Alpha: 0.5                     Beta: -0.038754068315029144                     MemKD: 0.510352373123169
2026-02-14 19:53:08,231 - INFO - Epoch [1] Batch [120/498]                     Loss: 1.3895, Hard: 1.1502, Soft: 0.2393                     Acc: 39.51% LR: 0.000500                     Alpha: 0.5                     Beta: -0.050455428659915924                     MemKD: 0.512214183807373
