epoch,train loss,train acc,test acc
1,1.2357667151093483,0.468125,0.4675
2,1.1065696543455124,0.541875,0.625
3,1.0517486640810967,0.5721875,0.6
4,0.9848645803332329,0.6171875,0.6625
5,0.9455867132544518,0.6325,0.65125
6,0.90638681858778,0.6465625,0.6625
7,0.8799144117534161,0.6678125,0.705
8,0.8409624029695988,0.6959375,0.7
9,0.8121608260273934,0.7125,0.71625
10,0.8073947730660439,0.7134375,0.725
11,0.9023085591197014,0.65375,0.41125
12,0.8797275727987289,0.663125,0.53
13,0.8492310842871666,0.674375,0.47875
14,0.8147053597867489,0.6928125,0.55375
15,0.8119543562829494,0.693125,0.69375
16,0.7752059561014175,0.70625,0.65875
17,0.7468090206384659,0.72875,0.6525
18,0.7206732076406479,0.7375,0.70875
19,0.719969859868288,0.7384375,0.70375
20,0.6850112684071064,0.7546875,0.68625
21,0.6585635946691036,0.76,0.74625
22,0.6228289607167244,0.7903125,0.75875
23,0.6030889450013638,0.7871875,0.735
24,0.5855004443228244,0.79625,0.75875
25,0.568101240247488,0.809375,0.75
26,0.5471987548470497,0.814375,0.775
27,0.5361733341217041,0.8196875,0.78125
28,0.5224160932004451,0.8321875,0.77
29,0.5282634516060353,0.8315625,0.78
30,0.5173387425392866,0.84,0.77625
