epoch,train loss,train acc,test acc
1,2.4077447271347046,0.476875,0.5025
2,1.718012760281563,0.5421875,0.3625
3,1.5333037412166595,0.5840625,0.47875
4,1.4316707527637482,0.6121875,0.56625
5,1.3555069386959075,0.62375,0.65875
6,1.2961435133218766,0.6503125,0.67875
7,1.2447649851441382,0.6640625,0.67375
8,1.2059575030207634,0.67375,0.70625
9,1.1668652600049974,0.69875,0.70125
10,1.1616165408492087,0.7034375,0.7025
11,1.2664983266592025,0.6425,0.65875
12,1.2096380150318147,0.6628125,0.53875
13,1.1917369094491006,0.669375,0.67125
14,1.1201965078711509,0.6896875,0.685
15,1.0845618027448654,0.7103125,0.64625
16,1.0665709593892096,0.699375,0.735
17,1.019568808078766,0.728125,0.72125
18,1.0151964166760445,0.7203125,0.69
19,0.9644464355707169,0.7428125,0.69
20,0.947992927134037,0.74875,0.70125
21,0.9156195369362831,0.755,0.68
22,0.8868398642539979,0.776875,0.64125
23,0.884060210287571,0.7784375,0.76125
24,0.8299661955237388,0.7978125,0.745
25,0.8168692384660244,0.8034375,0.74125
26,0.7994999150931835,0.81125,0.7525
27,0.7859774109721184,0.8146875,0.76625
28,0.7782405427098275,0.816875,0.76875
29,0.771729976683855,0.833125,0.775
30,0.7625774991512299,0.825,0.77125
