epoch,train loss,train acc,test acc
1,1.179556688964367,0.47875,0.35125
2,1.0684793141484261,0.538125,0.555
3,1.0060713398456573,0.5715625,0.53125
4,0.961217257976532,0.6065625,0.62375
5,0.926728474497795,0.6175,0.58
6,0.8834425827860832,0.64625,0.6125
7,0.851940621137619,0.663125,0.69375
8,0.8154763868451118,0.68375,0.6975
9,0.7932225503027439,0.6928125,0.71125
10,0.7889804370701313,0.69375,0.7125
11,0.8943193109333515,0.63625,0.65
12,0.8567166993021965,0.656875,0.6725
13,0.8213247548043728,0.68,0.62375
14,0.8064475905895233,0.679375,0.5225
15,0.7795162659883499,0.6925,0.64875
16,0.7364588378369809,0.7140625,0.71125
17,0.7274845157563686,0.7178125,0.71
18,0.7166593177616596,0.720625,0.66625
19,0.670207668542862,0.7428125,0.6425
20,0.6540975332260132,0.7490625,0.75875
21,0.628645540624857,0.77,0.69625
22,0.6051636165380478,0.7753125,0.7475
23,0.5832214424014092,0.7896875,0.74375
24,0.5542226247489452,0.7953125,0.76
25,0.540384436622262,0.81125,0.755
26,0.5409447421133519,0.8028125,0.75375
27,0.5157639226317405,0.8103125,0.77625
28,0.5057392929494381,0.823125,0.775
29,0.4961331918090582,0.8228125,0.77625
30,0.500971360579133,0.83125,0.7775
