epoch,train loss,train acc,test acc
1,1.6501036614179612,0.473125,0.46125
2,1.4522015911340713,0.5390625,0.5825
3,1.3743103316426277,0.568125,0.59875
4,1.2763155171275138,0.6146875,0.64875
5,1.2365961834788322,0.6175,0.64875
6,1.177148695886135,0.636875,0.6025
7,1.1426344099640846,0.6559375,0.685
8,1.0962718030810357,0.67875,0.68375
9,1.0591494712233542,0.6978125,0.70375
10,1.0504557761549949,0.6959375,0.71125
11,1.1891661810874938,0.6471875,0.625
12,1.1444743317365647,0.6515625,0.6325
13,1.110473956167698,0.660625,0.555
14,1.0572143653035164,0.68625,0.66625
15,1.0451965001225472,0.6909375,0.635
16,1.002550349533558,0.701875,0.60875
17,0.972766505330801,0.72125,0.575
18,0.9319616471230984,0.72875,0.705
19,0.9277208901941776,0.7309375,0.675
20,0.9038963720202446,0.7428125,0.7075
21,0.8519688278436661,0.75125,0.725
22,0.8071450857818127,0.780625,0.7425
23,0.7888610324263573,0.776875,0.73625
24,0.7654895411431789,0.7834375,0.76125
25,0.7439656737446785,0.791875,0.7625
26,0.7201800078153611,0.8028125,0.7675
27,0.7010373863577842,0.811875,0.76875
28,0.6918331080675125,0.8190625,0.76875
29,0.6961160370707512,0.8221875,0.76625
30,0.6841296800971031,0.828125,0.76875
