epoch,train loss,train acc,test acc
1,3.2337075555324555,0.4346875,0.46375
2,3.0126163482666017,0.49125,0.50625
3,2.920446057319641,0.514375,0.5475
4,2.8381309044361114,0.5471875,0.565
5,2.7570828652381896,0.57375,0.51
6,2.683769482970238,0.5959375,0.58875
7,2.6583387541770933,0.600625,0.63375
8,2.5737040930986406,0.624375,0.6225
9,2.530427372455597,0.62625,0.61375
10,2.535365651845932,0.633125,0.61375
11,2.7063074219226837,0.5965625,0.54875
12,2.6624986696243287,0.6046875,0.585
13,2.6056647646427153,0.619375,0.565
14,2.579788910150528,0.62625,0.5225
15,2.5410587030649183,0.6375,0.59375
16,2.4684518647193907,0.6478125,0.6225
17,2.4388782465457917,0.658125,0.60625
18,2.4151547574996948,0.6690625,0.65375
19,2.387539142370224,0.66375,0.67375
20,2.334178501367569,0.6821875,0.68625
21,2.3049518090486525,0.6903125,0.66
22,2.2467530256509782,0.7134375,0.66125
23,2.204680077433586,0.720625,0.70625
24,2.183007887005806,0.7240625,0.6875
25,2.1515039455890657,0.7309375,0.705
26,2.1246947520971298,0.7478125,0.70625
27,2.1012334644794466,0.7425,0.69875
28,2.0832395923137663,0.74625,0.715
29,2.095681447982788,0.7484375,0.70625
30,2.0643197965621947,0.7553125,0.71375
31,2.335774118900299,0.681875,0.61625
32,2.2945305877923965,0.6978125,0.65125
33,2.2807701909542084,0.706875,0.61875
34,2.2847935086488724,0.6953125,0.585
35,2.2415884810686113,0.7178125,0.6475
36,2.176964382529259,0.723125,0.6325
37,2.17135789334774,0.734375,0.51375
38,2.132246634364128,0.7375,0.61375
39,2.127401086091995,0.7353125,0.61125
40,2.0602436316013337,0.76125,0.69125
41,2.0383253043889997,0.755625,0.6875
42,2.048967378139496,0.7578125,0.625
43,1.9894449418783189,0.7721875,0.70875
44,1.940040701031685,0.77875,0.7
45,1.9136747926473618,0.7878125,0.68375
46,1.8855549705028534,0.79625,0.66
47,1.861239981651306,0.7990625,0.56875
48,1.8364397150278091,0.81375,0.65375
49,1.7982413917779922,0.81625,0.605
50,1.746278156042099,0.82625,0.7325
51,1.710164265036583,0.8365625,0.69625
52,1.6910386401414872,0.834375,0.695
53,1.672486847639084,0.8328125,0.69375
54,1.6285981142520904,0.8475,0.64375
55,1.6123135858774185,0.8496875,0.7275
56,1.5735870158672334,0.8559375,0.67875
57,1.5540891498327256,0.8628125,0.725
58,1.5150238710641861,0.8659375,0.74125
59,1.5023887050151825,0.8778125,0.71375
60,1.499397229552269,0.8746875,0.71125
61,1.4599549388885498,0.883125,0.73375
62,1.439459996819496,0.8890625,0.7325
63,1.442506984770298,0.8871875,0.72875
64,1.4257260251045227,0.89,0.74125
65,1.4057352668046952,0.8925,0.735
66,1.4134008476138116,0.8946875,0.7425
67,1.4035665372014046,0.8978125,0.74875
68,1.4094684132933617,0.895625,0.74125
69,1.4013222017884255,0.9009375,0.74
70,1.4007352423667907,0.8928125,0.735
