epoch,train loss,train acc,test acc
1,6.4727392220497135,0.454375,0.575
2,5.974038393497467,0.53625,0.56375
3,5.760928094387054,0.561875,0.6225
4,5.502171125411987,0.6040625,0.61625
5,5.339546279907227,0.6259375,0.63
6,5.191209859848023,0.644375,0.66625
7,5.082860052585602,0.653125,0.67625
8,4.956162540912628,0.67625,0.705
9,4.852414548397064,0.68875,0.70125
10,4.8079917216300965,0.691875,0.6975
11,5.153585609197616,0.6525,0.6325
12,5.037488769292832,0.653125,0.65
13,4.922706359624863,0.67625,0.615
14,4.79619973897934,0.6815625,0.6575
15,4.726529496908188,0.703125,0.66625
16,4.614269177913666,0.715625,0.71125
17,4.5000428247451785,0.71375,0.705
18,4.421474939584732,0.73,0.71625
19,4.369339208602906,0.7321875,0.73
20,4.2585047233104705,0.7459375,0.7
21,4.181601990461349,0.7471875,0.74875
22,4.0662170350551605,0.7725,0.755
23,4.0107050490379335,0.7728125,0.74875
24,3.9436882281303407,0.786875,0.765
25,3.8940148639678953,0.78375,0.7575
26,3.830482145547867,0.795,0.76625
27,3.8007504963874816,0.8009375,0.7675
28,3.759795745611191,0.8046875,0.76
29,3.770640581846237,0.7990625,0.76875
30,3.727303886413574,0.806875,0.77
