epoch,train loss,train acc,test acc
1,2.0214983588457107,0.4521875,0.535
2,1.823833263516426,0.524375,0.57625
3,1.7336430913209915,0.55,0.5725
4,1.6320096123218537,0.608125,0.625
5,1.5747575879096984,0.606875,0.58
6,1.4980252283811568,0.6365625,0.64
7,1.4736800825595855,0.6521875,0.6825
8,1.4072024092078208,0.678125,0.6825
9,1.3627847498655319,0.69125,0.7025
10,1.3588834574818611,0.6884375,0.70125
11,1.5073690396547317,0.633125,0.6425
12,1.4538939964771271,0.6509375,0.655
13,1.4157107648253442,0.6665625,0.64
14,1.3758163461089135,0.6790625,0.6725
15,1.357624807059765,0.6859375,0.60875
16,1.2964799901843072,0.6978125,0.69875
17,1.2529812347888947,0.7153125,0.69
18,1.2112938186526299,0.7190625,0.5275
19,1.1966257163882255,0.7275,0.6325
20,1.1589650598168373,0.7484375,0.66625
21,1.122462409734726,0.740625,0.73125
22,1.0668048444390297,0.7675,0.7175
23,1.0321472683548927,0.7728125,0.7575
24,1.0097805228829384,0.7846875,0.77125
25,0.9805627530813217,0.800625,0.75125
26,0.9518350687623024,0.805625,0.765
27,0.9333872121572494,0.8121875,0.7625
28,0.9160500204563141,0.8159375,0.77125
29,0.9230883695185185,0.815625,0.77125
30,0.9118752402067184,0.8196875,0.76625
31,1.1532073676586152,0.7428125,0.67
32,1.1334831184148788,0.744375,0.68875
33,1.0736217746138572,0.7621875,0.66875
34,1.0790615680813789,0.758125,0.69
35,1.0292076776921748,0.78375,0.74375
36,1.0010058015584946,0.7815625,0.66375
37,0.9678190782666206,0.789375,0.68125
38,0.9415745808184147,0.805625,0.5275
39,0.9530732288956643,0.7971875,0.6475
40,0.8936448131501674,0.809375,0.615
41,0.8609090147912503,0.8178125,0.74125
42,0.8465921159088612,0.834375,0.565
43,0.8195409193634987,0.834375,0.75625
44,0.7745025633275509,0.85125,0.70875
45,0.742194432914257,0.86375,0.71125
46,0.70898655295372,0.86625,0.69125
47,0.6861913783848286,0.87375,0.72625
48,0.6581037440896034,0.88,0.7025
49,0.6357399773597717,0.88875,0.67625
50,0.6087024319171905,0.8934375,0.7625
51,0.5623492184281349,0.9175,0.755
52,0.5601935341209173,0.9078125,0.71
53,0.5359670446813106,0.92,0.71375
54,0.49834779314696787,0.9315625,0.7775
55,0.4905303584039211,0.929375,0.78
56,0.4580429051071405,0.9434375,0.79
57,0.4458797631412745,0.9465625,0.75625
58,0.4130410435795784,0.95,0.77875
59,0.40203803531825544,0.955,0.785
60,0.40607321977615357,0.9609375,0.7825
