epoch,train loss,train acc,test acc
1,1.6812029993534088,0.455,0.5075
2,1.4437380278110503,0.515,0.58625
3,1.3106641957163812,0.565,0.52375
4,1.231871331036091,0.5775,0.5725
5,1.1681733682751656,0.6,0.595
6,1.1306189918518066,0.615625,0.60375
7,1.0707840025424957,0.635,0.6675
8,1.0472784733772278,0.65375,0.6525
9,1.0170822075009347,0.66625,0.68125
10,1.003160498738289,0.671875,0.6775
11,3.62063190639019,0.43875,0.48
12,1.380401771068573,0.4934375,0.56375
13,1.2975620701909065,0.5203125,0.54625
14,1.2411406418681146,0.540625,0.53875
15,1.2014142927527427,0.5775,0.5525
16,1.1371588870882987,0.605625,0.5775
17,1.1134236603975296,0.6259375,0.6275
18,1.0930377474427224,0.6175,0.6175
19,1.0517135003209115,0.6428125,0.66625
20,1.0364503541588783,0.64125,0.61
21,1.0104680266976356,0.661875,0.69125
22,0.9806636613607407,0.6653125,0.69
23,0.9589465007185936,0.6665625,0.7025
24,0.9398976051807404,0.6803125,0.68625
25,0.9347290995717049,0.6840625,0.7075
26,0.9153605166077614,0.686875,0.72125
27,0.9041252398490905,0.7021875,0.73
28,0.8831609436869621,0.7103125,0.705
29,0.8838840574026108,0.7084375,0.72125
30,0.8965669322013855,0.70125,0.71125
