epoch,train loss,train acc,test acc
1,1.8045654171705245,0.4178125,0.4475
2,1.6654765045642852,0.4603125,0.41375
3,1.5879514306783675,0.505625,0.5225
4,1.5342306923866271,0.5234375,0.54875
5,1.4739627921581269,0.55625,0.53625
6,1.4336504328250885,0.574375,0.595
7,1.3974309304356576,0.5921875,0.62
8,1.358685582280159,0.6134375,0.61125
9,1.3235390377044678,0.6178125,0.615
10,1.3222523674368858,0.6275,0.6125
11,1.4238875243067741,0.5840625,0.54125
12,1.3843607529997826,0.6065625,0.56875
13,1.3835339638590813,0.605,0.375
14,1.3305710273981095,0.6321875,0.56625
15,1.294528731405735,0.6509375,0.62
16,1.2719531753659248,0.6590625,0.555
17,1.2338078552484513,0.669375,0.615
18,1.2238326165080071,0.6675,0.675
19,1.2272793602943421,0.675625,0.67875
20,1.1757186132669448,0.6971875,0.57125
21,1.1427208557724953,0.7078125,0.71125
22,1.1313518995046616,0.72125,0.68875
23,1.1081942704319954,0.72875,0.69625
24,1.0812907919287682,0.73875,0.71875
25,1.0701610282063485,0.743125,0.725
26,1.047057029902935,0.7478125,0.73625
27,1.0374738144874573,0.7575,0.7425
28,1.029606712758541,0.75,0.73625
29,1.0219609344005585,0.7584375,0.74125
30,1.0198469254374505,0.7590625,0.74125
31,1.1606188583374024,0.701875,0.58625
32,1.1298086738586426,0.71625,0.54125
33,1.133244949579239,0.7234375,0.61625
34,1.107047124505043,0.7209375,0.665
35,1.1012349788844586,0.7296875,0.49125
36,1.0704624316096305,0.7528125,0.72375
37,1.0524582728743552,0.743125,0.725
38,1.034277077615261,0.7625,0.495
39,1.0356590501964091,0.7528125,0.64375
40,1.0001407477259636,0.775,0.65125
41,1.0044124871492386,0.7684375,0.69
42,0.9761718977987767,0.775,0.7175
43,0.9598912212252617,0.78375,0.625
44,0.9356380116939544,0.7978125,0.655
45,0.9052485422790051,0.8140625,0.71375
46,0.9072197648882866,0.810625,0.5475
47,0.8799537198245525,0.8209375,0.6675
48,0.8782581451535225,0.8234375,0.63375
49,0.8432708832621575,0.840625,0.68375
50,0.8207655860483647,0.8415625,0.7125
51,0.7962429830431939,0.8546875,0.68625
52,0.7754089544713497,0.8653125,0.72375
53,0.7637965938448906,0.871875,0.74625
54,0.7408427183330059,0.8815625,0.75625
55,0.7238201314210891,0.885625,0.7775
56,0.7194807517528534,0.8890625,0.75125
57,0.6900102454423904,0.898125,0.76375
58,0.6936887614428997,0.8928125,0.745
59,0.67658327460289,0.9053125,0.76625
60,0.6787098327279091,0.905,0.7475
61,0.6591108547151089,0.9096875,0.77
62,0.6466262175142765,0.913125,0.77375
63,0.637663951665163,0.9246875,0.77
64,0.6267293901741504,0.9228125,0.78
65,0.6393463283777236,0.921875,0.78
66,0.6233634035289287,0.925,0.785
67,0.6319066686928272,0.91875,0.77625
68,0.612470081448555,0.9334375,0.775
69,0.619520227611065,0.9296875,0.78375
70,0.6282646380364895,0.925,0.78375
