epoch,train loss,train acc,test acc
1,1.2865118712186814,0.47,0.53625
2,1.1622750571370124,0.5371875,0.6025
3,1.1087182265520097,0.5725,0.59375
4,1.0601080667972564,0.6096875,0.39625
5,1.029996916949749,0.61625,0.6025
6,0.9802434799075127,0.654375,0.6725
7,0.9395691922307015,0.675625,0.69125
8,0.9149508392810821,0.684375,0.6975
9,0.8984529998898506,0.6953125,0.71375
10,0.8938332810997963,0.699375,0.71625
11,0.9801773332059384,0.641875,0.35875
12,0.9550559294223785,0.665,0.64
13,0.9223442932963372,0.674375,0.5425
14,0.901599813401699,0.6878125,0.64375
15,0.863813523054123,0.7009375,0.68375
16,0.8620788598060608,0.709375,0.71625
17,0.8201499083638191,0.7325,0.66875
18,0.8127037909626961,0.724375,0.66125
19,0.7868635408580303,0.7446875,0.74625
20,0.7558253067731857,0.7584375,0.735
21,0.7325057207047939,0.7665625,0.65
22,0.7205639508366585,0.76875,0.725
23,0.6912026727199554,0.783125,0.7325
24,0.6735483127832412,0.795,0.7675
25,0.6672474510967732,0.796875,0.77125
26,0.6480777479708195,0.8021875,0.76875
27,0.638480766415596,0.8171875,0.77
28,0.6216904151439667,0.825,0.77625
29,0.620310148447752,0.823125,0.77875
30,0.6204183538258076,0.8159375,0.775
