fold_index,total_folds,epoch,wd,batch,lr,distill_type,freeze_teacher,dynamic_weight,p_encoder,p_classifier,best_acc
0,10,200,8e-05,16,0.0004,MTSKD,True,False,0.1,0.35,90.04890895410082
1,10,200,8e-05,16,0.0004,MTSKD,True,False,0.1,0.35,90.40632054176072
2,10,200,8e-05,16,0.0004,MTSKD,True,False,0.1,0.35,90.37810383747178
3,10,200,8e-05,16,0.0004,MTSKD,True,False,0.1,0.35,90.15237020316027
4,10,200,8e-05,16,0.0004,MTSKD,True,False,0.1,0.35,90.36869826937547
5,10,200,8e-05,16,0.0004,MTSKD,True,False,0.1,0.35,89.96425884123401
6,10,200,8e-05,16,0.0004,MTSKD,True,False,0.1,0.35,89.98306997742664
7,10,200,8e-05,16,0.0004,MTSKD,True,False,0.1,0.35,89.57863054928518
8,10,200,8e-05,16,0.0004,MTSKD,True,False,0.1,0.35,89.11775771256583
9,10,200,8e-05,16,0.0004,MTSKD,True,False,0.1,0.35,89.72911963882619
