fold_index,total_folds,epoch,wd,batch,lr,distill_type,freeze_teacher,dynamic_weight,p_encoder,p_classifier,best_acc
0,10,200,0.0001,20,0.0005,MTSKD,True,False,0.355,0.255,88.69680851063829
1,10,200,0.0001,20,0.0005,MTSKD,True,False,0.355,0.255,88.56382978723404
2,10,200,0.0001,20,0.0005,MTSKD,True,False,0.355,0.255,89.49468085106383
3,10,200,0.0001,20,0.0005,MTSKD,True,False,0.355,0.255,88.82978723404256
4,10,200,0.0001,20,0.0005,MTSKD,True,False,0.355,0.255,88.9627659574468
5,10,200,0.0001,20,0.0005,MTSKD,True,False,0.355,0.255,89.09574468085107
6,10,200,0.0001,20,0.0005,MTSKD,True,False,0.355,0.255,89.22872340425532
7,10,200,0.0001,20,0.0005,MTSKD,True,False,0.355,0.255,89.76063829787235
8,10,200,0.0001,20,0.0005,MTSKD,True,False,0.355,0.255,89.09574468085107
9,10,200,0.0001,20,0.0005,MTSKD,True,False,0.355,0.255,89.09574468085107
