epoch,wd,batch,lr,distill_type,freeze_teacher,dynamic_weight,p_encoder,p_classifier,best_acc
100,0.0001,16,0.0005,Tser,True,True,0.1,0.2,75.55492851768247
100,0.0001,16,0.0005,Tser,True,True,0.1,0.3,75.04702784048156
100,0.0001,16,0.0005,Tser,True,True,0.1,0.5,71.30361173814899
100,0.0001,16,0.0005,MTSKD_Temp,True,True,0.1,0.2,89.08013544018058
100,0.0001,16,0.0005,MTSKD_Temp,True,True,0.1,0.3,88.46877351392024
100,0.0001,16,0.0005,MTSKD_Temp,True,True,0.1,0.5,88.83559066967645
100,0.0001,16,0.0005,MTSKD_Temp,True,True,0.2,0.2,89.17419112114372
100,0.0001,16,0.0005,MTSKD_Temp,True,True,0.2,0.3,88.90142964635064
100,0.0001,16,0.0005,MTSKD_Temp,True,True,0.2,0.5,88.88261851015801
100,0.0001,16,0.0005,MTSKD_Temp,True,True,0.3,0.2,88.29006772009029
100,0.0001,16,0.0005,MTSKD_Temp,True,True,0.3,0.3,88.76975169300226
100,0.0001,16,0.0005,MTSKD_Temp,True,True,0.3,0.5,89.03310759969902
100,0.0001,16,0.0005,MTSKD_Temp,True,False,0.1,0.2,90.30285929270129
100,0.0001,16,0.0005,MTSKD_Temp,True,False,0.1,0.3,90.02069224981189
150,0.0001,16,0.0005,MTSKD_Temp,True,True,0.1,0.2,90.43453724604966
150,0.0001,16,0.0005,MTSKD_Temp,True,True,0.1,0.3,91.22460496613995
150,0.0001,16,0.0005,MTSKD_Temp,True,True,0.1,0.5,89.91723100075245
150,0.0001,16,0.0005,MTSKD_Temp,True,True,0.2,0.2,90.82016553799849
150,0.0001,16,0.0005,MTSKD_Temp,True,True,0.2,0.3,91.17757712565839
150,0.0001,16,0.0005,MTSKD_Temp,True,True,0.2,0.5,91.16817155756208
150,0.0001,16,0.0005,MTSKD_Temp,True,True,0.3,0.2,91.37509405568096
150,0.0001,16,0.0005,MTSKD_Temp,True,True,0.3,0.3,90.82016553799849
150,0.0001,16,0.0005,MTSKD_Temp,True,True,0.3,0.5,91.88299473288187
150,0.0001,16,0.0005,MTSKD_Temp,True,False,0.1,0.2,91.51617757712566
150,0.0001,16,0.0005,MTSKD_Temp,True,False,0.1,0.3,92.78592927012791
200,8e-05,16,0.0004,MTSKD_Temp,True,True,0.08,0.25,91.14936042136945
200,8e-05,16,0.0004,MTSKD_Temp,True,True,0.08,0.3,90.30285929270129
200,8e-05,16,0.0004,MTSKD_Temp,True,True,0.08,0.35,90.50037622272386
200,8e-05,16,0.0004,MTSKD_Temp,True,True,0.1,0.25,90.6132430398796
200,8e-05,16,0.0004,MTSKD_Temp,True,True,0.1,0.3,90.59443190368698
200,8e-05,16,0.0004,MTSKD_Temp,True,True,0.1,0.35,90.65086531226486
200,8e-05,16,0.0004,MTSKD_Temp,True,True,0.12,0.25,90.68848758465012
200,8e-05,16,0.0004,MTSKD_Temp,True,True,0.12,0.3,90.68848758465012
200,8e-05,16,0.0004,MTSKD_Temp,True,True,0.12,0.35,91.12114371708051
200,8e-05,16,0.0004,MTSKD_Temp,True,False,0.08,0.25,91.81715575620767
200,8e-05,16,0.0004,MTSKD_Temp,True,False,0.08,0.3,91.06471030850264
200,8e-05,16,0.0004,MTSKD_Temp,True,False,0.08,0.35,91.9018058690745
200,8e-05,16,0.0004,MTSKD_Temp,True,False,0.1,0.25,92.4097065462754
200,8e-05,16,0.0004,MTSKD_Temp,True,False,0.1,0.3,92.49435665914221
200,8e-05,16,0.0004,MTSKD_Temp,True,False,0.1,0.35,93.27501881113619
200,8e-05,16,0.0004,MTSKD_Temp,True,False,0.12,0.25,92.28743416102333
200,8e-05,16,0.0004,MTSKD_Temp,True,False,0.12,0.3,92.76711813393528
200,8e-05,16,0.0004,MTSKD_Temp,True,False,0.12,0.35,92.15575620767494
200,8e-05,16,0.0004,MTSKD_Temp,False,True,0.08,0.25,90.41572610985703
200,8e-05,16,0.0004,MTSKD_Temp,False,True,0.08,0.3,90.35929270127916
200,8e-05,16,0.0004,MTSKD_Temp,False,True,0.08,0.35,90.34048156508653
200,8e-05,16,0.0004,MTSKD_Temp,False,True,0.1,0.25,91.08352144469526
200,8e-05,16,0.0004,MTSKD_Temp,False,True,0.1,0.3,90.6038374717833
200,8e-05,16,0.0004,MTSKD_Temp,False,True,0.1,0.35,90.1711813393529
200,8e-05,16,0.0004,MTSKD_Temp,False,True,0.12,0.25,90.90481565086532
200,8e-05,16,0.0004,MTSKD_Temp,False,True,0.12,0.3,91.08352144469526
200,8e-05,16,0.0004,MTSKD_Temp,False,True,0.12,0.35,90.39691497366441
200,8e-05,16,0.0004,MTSKD_Temp,False,False,0.08,0.25,92.2027840481565
200,8e-05,16,0.0004,MTSKD_Temp,False,False,0.08,0.3,92.47554552294959
200,8e-05,16,0.0004,MTSKD_Temp,False,False,0.08,0.35,91.13054928517683
200,8e-05,16,0.0004,MTSKD_Temp,False,False,0.1,0.25,92.40030097817908
