fold_idx,n_train,n_val,best_train_acc,best_val_acc,best_epoch,training_time,status,remarks
0,28702,3190,0.0,0.0,0,5.042077302932739,success,
1,28702,3190,0.0,0.0,0,4.57331919670105,success,
2,28703,3189,0.0,0.0,0,5.249109983444214,success,
3,28703,3189,0.0,0.0,0,4.61497688293457,success,
4,28703,3189,0.0,0.0,0,4.637174367904663,success,
5,28703,3189,0.0,0.0,0,5.3704705238342285,success,
0,28702,3190,0.0,0.0,0,6.733902931213379,success,
1,28702,3190,0.0,0.0,0,6.165019273757935,success,
2,28703,3189,0.0,0.0,0,5.729174613952637,success,
3,28703,3189,0.0,0.0,0,5.816871166229248,success,
4,28703,3189,0.0,0.0,0,5.5698792934417725,success,
5,28703,3189,0.0,0.0,0,5.514012098312378,success,
6,28703,3189,0.0,0.0,0,5.335934638977051,success,
7,28703,3189,0.0,0.0,0,5.559473752975464,success,
8,28703,3189,0.0,0.0,0,6.4755048751831055,success,
9,28703,3189,0.0,0.0,0,6.590594291687012,success,
0,28702,3190,0.0,0.0,0,6.6143317222595215,success,
1,28702,3190,0.0,0.0,0,5.1178507804870605,success,
2,28703,3189,0.0,0.0,0,5.007056713104248,success,
3,28703,3189,0.0,0.0,0,5.109335660934448,success,
4,28703,3189,0.0,0.0,0,5.484816551208496,success,
5,28703,3189,0.0,0.0,0,6.478194952011108,success,
0,28702,3190,98.72,89.0,198,27956.856859207153,success,
1,28702,3190,0.0,0.0,0,19134.380922079086,success,
2,28703,3189,99.0,90.54,198,31596.058963537216,success,
