fold_idx,n_train,n_val,best_train_acc,best_val_acc,best_epoch,training_time,status,remarks
0,28702,3190,0.9294848806534455,0.8502365780251958,55,37.9123699924991,success,
1,28702,3190,0.9358681050612233,0.8673941293923566,68,36.914116503968955,success,
2,28703,3189,0.9393527953793036,0.8040653676300148,83,54.44207982262152,success,
3,28703,3189,0.8670002357066293,0.8101116182029976,91,49.455367304609155,success,
4,28703,3189,0.8658464740696548,0.8540063814155963,76,47.99140032038846,success,
5,28703,3189,0.9354355654957123,0.8819031459947042,144,36.98034566537241,success,
6,28703,3189,0.9483227910881439,0.8383001395163394,68,34.83734069058169,success,
7,28703,3189,0.9027498686083477,0.8406424002376347,120,47.767752867133865,success,
8,28703,3189,0.9244185846033494,0.8113034551638731,72,32.03577185946186,success,
9,28703,3189,0.9302958037204151,0.8132545230760231,136,33.032999614853225,success,
